setup,en_iou_mean,en_recall_mean,en_precision_mean,en_f1_mean,ko_iou_mean,ko_recall_mean,ko_precision_mean,ko_f1_mean
layers_12-13__mean__a2t,0.2743,0.3753,0.5090,0.4342,0.4014,0.4479,0.6409,0.5776
layers_12-13__max__a2t,0.2853,0.3945,0.5078,0.4433,0.4084,0.4581,0.6392,0.5824
layers_11-13__mean__a2t,0.2605,0.3487,0.5088,0.4264,0.3885,0.4287,0.6468,0.5650
layers_11-13__max__a2t,0.2838,0.3885,0.5124,0.4428,0.4089,0.4574,0.6410,0.5826
layers_7-13__mean__a2t,0.2700,0.3603,0.5174,0.4356,0.3838,0.4226,0.6531,0.5611
layers_7-13__max__a2t,0.2895,0.4000,0.5114,0.4501,0.4082,0.4599,0.6422,0.5808
layers_8-14__mean__a2t,0.2704,0.3619,0.5164,0.4357,0.3868,0.4265,0.6508,0.5631
layers_8-14__max__a2t,0.2907,0.4014,0.5108,0.4511,0.4092,0.4612,0.6410,0.5807
layers_10-14__mean__a2t,0.2510,0.3331,0.5072,0.4195,0.3740,0.4112,0.6459,0.5524
layers_10-14__max__a2t,0.2837,0.3883,0.5124,0.4426,0.4075,0.4554,0.6410,0.5813
layers_10-15__mean__a2t,0.2504,0.3325,0.5069,0.4186,0.3716,0.4088,0.6448,0.5505
layers_10-15__max__a2t,0.2831,0.3877,0.5124,0.4422,0.4075,0.4553,0.6413,0.5814
layers_8-15__mean__a2t,0.2697,0.3612,0.5161,0.4349,0.3855,0.4252,0.6505,0.5616
layers_8-15__max__a2t,0.2905,0.4011,0.5108,0.4508,0.4092,0.4612,0.6413,0.5807
layers_8-18__mean__a2t,0.2292,0.2963,0.5088,0.4046,0.3660,0.3995,0.6525,0.5443
layers_8-18__max__a2t,0.2801,0.3806,0.5143,0.4435,0.4082,0.4595,0.6423,0.5804
layers_set_7-8__mean__a2t,0.2730,0.3744,0.5154,0.4457,0.3519,0.3897,0.6581,0.5428
layers_set_7-8__max__a2t,0.2842,0.3992,0.5030,0.4529,0.3914,0.4435,0.6494,0.5687
layers_set_7-9__mean__a2t,0.0025,0.0040,0.5909,0.5552,0.0000,0.0000,,
layers_set_7-9__max__a2t,0.0022,0.0056,0.1373,0.2579,0.0000,0.0000,0.1828,0.1097
layers_set_7-12__mean__a2t,0.2709,0.3628,0.5159,0.4353,0.3833,0.4211,0.6531,0.5609
layers_set_7-12__max__a2t,0.2843,0.3893,0.5145,0.4443,0.4053,0.4496,0.6480,0.5798
layers_set_7-13__mean__a2t,0.2319,0.3097,0.4932,0.4053,0.3594,0.3949,0.6454,0.5477
layers_set_7-13__max__a2t,0.2544,0.3527,0.4956,0.4146,0.3919,0.4411,0.6380,0.5732
layers_set_8-9__mean__a2t,0.2817,0.3912,0.5102,0.4524,0.3711,0.4135,0.6546,0.5552
layers_set_8-9__max__a2t,0.2859,0.4032,0.5008,0.4540,0.3995,0.4548,0.6465,0.5746
layers_set_8-12__mean__a2t,0.2940,0.4042,0.5159,0.4550,0.4091,0.4582,0.6472,0.5811
layers_set_8-12__max__a2t,0.2926,0.4073,0.5069,0.4530,0.4123,0.4669,0.6408,0.5821
layers_set_8-13__mean__a2t,0.2846,0.3919,0.5103,0.4462,0.4048,0.4549,0.6425,0.5786
layers_set_8-13__max__a2t,0.2882,0.4012,0.5039,0.4482,0.4092,0.4643,0.6392,0.5805
layers_set_9-12__mean__a2t,0.2777,0.3749,0.5158,0.4406,0.3935,0.4339,0.6500,0.5696
